ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"ENSG00000160305"	"DIP2A"	chr21	+	46511416	46511614	46511428	46511614	46509256	46509376
1	"ENSG00000142173"	"COL6A2"	chr21	+	46125416	46125617	46125464	46125617	46125265	46125311
2	"ENSG00000142173"	"COL6A2"	chr21	+	46128902	46129808	46129195	46129808	46126502	46126541
3	"ENSG00000183570"	"PCBP3"	chr21	+	45929916	45929995	45929919	45929995	45917587	45917629
4	"ENSG00000183570"	"PCBP3"	chr21	+	45940029	45940199	45940036	45940199	45935252	45935305
5	"ENSG00000182871"	"COL18A1"	chr21	+	45505834	45505966	45505837	45505966	45505357	45505431
6	"ENSG00000186866"	"POFUT2"	chr21	-	45263927	45267713	45263927	45265635	45269838	45270019
7	"ENSG00000186866"	"POFUT2"	chr21	-	45263927	45267713	45263927	45265635	45277016	45277142
8	"ENSG00000160255"	"ITGB2"	chr21	-	44910283	44910415	44910283	44910372	44910599	44910785
9	"ENSG00000160255"	"ITGB2"	chr21	-	44910283	44910415	44910283	44910372	44910724	44910785
10	"ENSG00000160224"	"AIRE"	chr21	+	44291094	44291210	44291097	44291210	44289987	44290068
11	"ENSG00000160224"	"AIRE"	chr21	+	44294371	44294503	44294400	44294503	44293788	44293910
12	"ENSG00000142182"	"DNMT3L"	chr21	-	44246338	44246565	44246338	44246562	44249025	44249111
13	"ENSG00000160223"	"ICOSLG"	chr21	-	44222990	44229044	44222990	44223078	44230053	44230089
14	"ENSG00000160216"	"AGPAT3"	chr21	+	43967868	43968115	43967945	43968115	43960631	43960779
15	"ENSG00000160209"	"PDXK"	chr21	+	43743668	43743807	43743723	43743807	43741666	43741771
16	"ENSG00000160209"	"PDXK"	chr21	+	43755476	43755764	43755697	43755764	43753582	43753719
17	"ENSG00000160191"	"PDE9A"	chr21	+	42698912	42699011	42698967	42699011	42697414	42697490
18	"ENSG00000232401"	"LINC00112"	chr21	+	41717000	41717174	41717025	41717174	41716374	41716544
19	"ENSG00000185437"	"SH3BGR"	chr21	+	39462374	39462560	39462379	39462560	39445864	39445892
20	"ENSG00000185437"	"SH3BGR"	chr21	+	39462374	39462560	39462379	39462560	39445930	39446098
21	"ENSG00000141959"	"PFKL"	chr21	+	44313912	44316339	44316243	44316339	44313637	44313682
22	"ENSG00000141959"	"PFKL"	chr21	+	44325731	44326060	44325960	44326060	44325152	44325264
23	"ENSG00000182670"	"TTC3"	chr21	+	37087832	37088346	37088195	37088346	37087246	37087401
24	"ENSG00000185917"	"SETD4"	chr21	-	36058815	36058973	36058815	36058924	36059821	36060242
25	"ENSG00000185917"	"SETD4"	chr21	-	36058815	36058973	36058815	36058924	36060281	36060313
26	"ENSG00000185917"	"SETD4"	chr21	-	36058815	36058973	36058815	36058924	36060346	36060526
27	"ENSG00000241837"	"ATP5PO"	chr21	-	33903455	33903656	33903455	33903639	33903934	33904021
28	"ENSG00000159131"	"GART"	chr21	-	33539170	33539356	33539170	33539323	33542547	33542820
29	"ENSG00000159131"	"GART"	chr21	-	33539170	33539356	33539170	33539323	33542586	33542842
30	"ENSG00000243646"	"IL10RB"	chr21	+	33308184	33310187	33308975	33310187	33288132	33288261
31	"ENSG00000242220"	"TCP10L"	chr21	-	32577425	32577676	32577425	32577628	32578693	32578831
32	"ENSG00000265590"	"C21orf59-TCP10L"	chr21	-	32573283	32574124	32573283	32573368	32574575	32574676
33	"ENSG00000265590"	"C21orf59-TCP10L"	chr21	-	32574575	32576923	32574575	32574676	32578693	32578831
34	"ENSG00000156304"	"SCAF4"	chr21	-	31685048	31685240	31685048	31685174	31685397	31685484
35	"ENSG00000156304"	"SCAF4"	chr21	-	31696568	31696750	31696568	31696736	31700994	31701171
36	"ENSG00000156299"	"TIAM1"	chr21	-	31118417	31120837	31118417	31118670	31124521	31124694
37	"ENSG00000237484"	"LINC01684"	chr21	+	24441779	24441913	24441794	24441913	24438252	24438433
38	"ENSG00000228592"	"AP000459.3"	chr21	-	23372326	23372448	23372326	23372426	23372947	23373084
39	"ENSG00000224924"	"LINC00320"	chr21	-	20778642	20778796	20778642	20778762	20780810	20780907
40	"ENSG00000224924"	"LINC00320"	chr21	-	20778642	20778796	20778642	20778762	20781348	20781474
41	"ENSG00000224924"	"LINC00320"	chr21	-	20782306	20782446	20782306	20782442	20786035	20786088
42	"ENSG00000224924"	"LINC00320"	chr21	-	20786035	20786111	20786035	20786088	20802994	20803094
43	"ENSG00000215386"	"MIR99AHG"	chr21	+	16072962	16074029	16073233	16074029	16071113	16071398
44	"ENSG00000215386"	"MIR99AHG"	chr21	+	16627176	16627785	16627715	16627785	16606993	16607087
45	"ENSG00000232884"	"AF127936.1"	chr21	-	14746761	14748375	14746761	14747329	14750862	14750909
46	"ENSG00000280071"	"GATD3B"	chr21	-	5120633	5121111	5120633	5120889	5121710	5121803
47	"ENSG00000251322"	"SHANK3"	chr22	+	50705375	50706152	50706071	50706152	50704963	50705096
48	"ENSG00000254413"	"CHKB-CPT1B"	chr22	-	50571374	50571539	50571374	50571533	50572005	50572122
49	"ENSG00000254413"	"CHKB-CPT1B"	chr22	-	50576535	50576637	50576535	50576593	50576856	50577034
50	"ENSG00000254413"	"CHKB-CPT1B"	chr22	-	50579425	50579507	50579425	50579458	50579790	50579830
51	"ENSG00000025770"	"NCAPH2"	chr22	+	50522497	50522569	50522500	50522569	50522342	50522415
52	"ENSG00000025770"	"NCAPH2"	chr22	+	50523016	50523166	50523079	50523166	50522820	50522922
53	"ENSG00000100241"	"SBF1"	chr22	-	50454511	50454742	50454511	50454706	50454813	50454944
54	"ENSG00000100241"	"SBF1"	chr22	-	50467531	50467693	50467531	50467690	50467785	50467923
55	"ENSG00000100239"	"PPP6R2"	chr22	+	50419345	50419462	50419348	50419462	50393892	50394135
56	"ENSG00000100239"	"PPP6R2"	chr22	+	50419345	50419462	50419348	50419462	50416091	50416157
57	"ENSG00000100239"	"PPP6R2"	chr22	+	50419345	50419462	50419348	50419462	50418866	50418979
58	"ENSG00000100239"	"PPP6R2"	chr22	+	50439697	50439857	50439700	50439857	50438598	50438762
59	"ENSG00000100239"	"PPP6R2"	chr22	+	50440800	50441026	50440821	50441026	50439960	50440049
60	"ENSG00000100239"	"PPP6R2"	chr22	+	50444198	50445090	50444202	50445090	50443865	50444117
61	"ENSG00000205593"	"DENND6B"	chr22	-	50316565	50316712	50316565	50316626	50317292	50317373
62	"ENSG00000128159"	"TUBGCP6"	chr22	-	50218188	50218402	50218188	50218370	50218487	50218620
63	"ENSG00000128159"	"TUBGCP6"	chr22	-	50219287	50219791	50219287	50219456	50219956	50220015
64	"ENSG00000128159"	"TUBGCP6"	chr22	-	50219956	50221874	50219956	50220015	50222027	50222102
65	"ENSG00000128159"	"TUBGCP6"	chr22	-	50222453	50222592	50222453	50222588	50224140	50224256
66	"ENSG00000170638"	"TRABD"	chr22	+	50197822	50198186	50198074	50198186	50197448	50197588
67	"ENSG00000138892"	"TTLL8"	chr22	-	50047167	50047296	50047167	50047291	50049248	50049322
68	"ENSG00000186951"	"PPARA"	chr22	+	46198341	46198591	46198344	46198591	46151887	46151970
69	"ENSG00000186951"	"PPARA"	chr22	+	46198341	46198591	46198344	46198591	46188722	46188822
