ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
3	"ENSG00000186866"	"POFUT2"	chr21	-	45283351	45283527	45283382	45283527	45282368	45282398
4	"ENSG00000186866"	"POFUT2"	chr21	-	45283351	45283527	45283382	45283527	45282803	45282938
16	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44321875	44319350	44320147	44322132	44322203
17	"ENSG00000141959"	"PFKL"	chr21	+	44324855	44326060	44324855	44324917	44326158	44326264
27	"ENSG00000166979"	"EVA1C"	chr21	+	32501414	32501495	32501414	32501486	32514813	32515389
28	"ENSG00000166979"	"EVA1C"	chr21	+	32501414	32501538	32501414	32501486	32514813	32515389
29	"ENSG00000166979"	"EVA1C"	chr21	+	32501414	32501538	32501414	32501495	32514813	32515389
50	"ENSG00000254413"	"CHKB-CPT1B"	chr22	-	50579726	50579830	50579790	50579830	50579425	50579507
53	"ENSG00000128159"	"TUBGCP6"	chr22	-	50217917	50218402	50218188	50218402	50217688	50217827
54	"ENSG00000128159"	"TUBGCP6"	chr22	-	50219287	50219791	50219643	50219791	50219067	50219209
68	"ENSG00000100242"	"SUN2"	chr22	-	38740266	38741050	38740888	38741050	38739721	38739943
85	"ENSG00000198089"	"SFI1"	chr22	+	31604868	31606430	31604868	31604945	31607936	31608033
91	"ENSG00000187860"	"CCDC157"	chr22	+	30370325	30371727	30370325	30370950	30373596	30373764
93	"ENSG00000100325"	"ASCC2"	chr22	-	29834441	29834550	29834488	29834550	29825621	29825780
95	"ENSG00000100325"	"ASCC2"	chr22	-	29834441	29834550	29834488	29834550	29833540	29833614
97	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29288786	29288605	29288755	29292136	29292169
98	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29291599	29288605	29288755	29292136	29292169
99	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29291599	29288605	29288786	29292136	29292169
101	"ENSG00000100209"	"HSCB"	chr22	+	28744614	28744709	28744614	28744704	28745255	28745543
103	"ENSG00000100209"	"HSCB"	chr22	+	28743881	28743978	28743881	28743923	28751240	28751288
104	"ENSG00000100209"	"HSCB"	chr22	+	28744614	28744709	28744614	28744704	28751240	28751288
105	"ENSG00000183765"	"CHEK2"	chr22	-	28724564	28724923	28724885	28724923	28711908	28712017
107	"ENSG00000183765"	"CHEK2"	chr22	-	28724564	28724923	28724885	28724923	28721599	28721631
112	"ENSG00000100099"	"HPS4"	chr22	-	26466225	26468623	26468550	26468623	26465454	26465551
117	"ENSG00000228315"	"GUSBP11"	chr22	-	23690231	23690356	23690235	23690356	23659864	23660000
119	"ENSG00000228315"	"GUSBP11"	chr22	-	23690231	23690356	23690235	23690356	23683724	23683867
120	"ENSG00000228315"	"GUSBP11"	chr22	-	23694118	23695517	23695172	23695517	23683724	23683867
121	"ENSG00000228315"	"GUSBP11"	chr22	-	23694118	23695517	23695172	23695517	23690235	23690356
126	"ENSG00000206140"	"TMEM191C"	chr22	+	21467893	21468431	21467893	21468202	21468778	21468835
132	"ENSG00000099917"	"MED15"	chr22	+	20537116	20537215	20537116	20537204	20564449	20564688
135	"ENSG00000183628"	"DGCR6"	chr22	+	18906564	18907086	18906564	18906725	18910178	18910272
136	"ENSG00000183628"	"DGCR6"	chr22	+	18906564	18907086	18906564	18906725	18910887	18911028
139	"ENSG00000100359"	"SGSM3"	chr22	+	40407016	40407328	40407016	40407071	40407412	40407568
